Accident_ID,Accident_Date,Year,Month,Province,District,Road_Type,Intersection_Type,Time_of_Day,Accident_Severity,Weather_Condition,Road_Surface,Vehicle_Type,Speed_Zone,Driver_Gender
693,2024-10-08,2024,October,Karnali,Surkhet,Highway,Straight,Evening,Serious Injury,Clear,Slippery,Scooter,50,Male
728,2024-11-11,2024,November,Madhesh,Parsa,Urban,Straight,Evening,Minor Injury,Dusty,Damaged,Truck,50,Male
363,2023-11-25,2023,November,Koshi,Sunsari,Urban,Curve,Afternoon,Damage Only,Clear,Wet,Car,80,Male
597,2024-07-16,2024,July,Gandaki,Kaski,Rural,Straight,Afternoon,Minor Injury,Clear,Damaged,Truck,30,Male
428,2024-02-03,2024,February,Gandaki,Gorkha,Urban,Straight,Afternoon,Damage Only,Clear,Dry,Motorbike,30,Female
71,2023-02-22,2023,February,Bagmati,Kathmandu,Rural,Straight,Night,Serious Injury,Clear,Wet,Microbus,30,Female
322,2023-10-15,2023,October,Karnali,Kalikot,Rural,Straight,Night,Damage Only,Clear,Damaged,Truck,50,Male
653,2024-08-30,2024,August,Karnali,Dailekh,Highway,Straight,Morning,Serious Injury,Clear,Dry,Jeep,80,Male
1066,2025-09-15,2025,September,Madhesh,Rautahat,Urban,Junction,Night,Damage Only,Clear,Wet,Car,80,Male
108,2023-03-26,2023,March,Koshi,Jhapa,Feeder,Straight,Night,Serious Injury,Clear,Dry,Truck,30,Male
1109,2025-10-31,2025,October,Gandaki,Lamjung,Feeder,Straight,Night,Minor Injury,Rain,Wet,Truck,80,Female
356,2023-11-20,2023,November,Gandaki,Kaski,Feeder,Curve,Afternoon,Damage Only,Dusty,Slippery,Car,30,Male
951,2025-06-01,2025,June,Sudurpashchim,Achham,Urban,Straight,Evening,Minor Injury,Rain,Wet,Motorbike,50,Male
343,2023-11-03,2023,November,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Minor Injury,Rain,Wet,Scooter,50,Female
355,2023-11-20,2023,November,Bagmati,Kathmandu,Urban,Curve,Morning,Minor Injury,Rain,Wet,Motorbike,80,Male
24,2023-01-17,2023,January,Madhesh,Sarlahi,Urban,Straight,Night,Minor Injury,Clear,Wet,Motorbike,30,Male
44,2023-02-01,2023,February,Gandaki,Kaski,Highway,Curve,Morning,Fatal,Clear,Dry,Car,30,Male
244,2023-08-18,2023,August,Lumbini,Rupandehi,Urban,Junction,Afternoon,Minor Injury,Rain,Wet,Car,80,Male
738,2024-11-18,2024,November,Gandaki,Gorkha,Rural,Roundabout,Afternoon,Serious Injury,Clear,Slippery,Car,30,Male
1136,2025-12-01,2025,December,Karnali,Jumla,Rural,Curve,Morning,Minor Injury,Clear,Slippery,Truck,50,Male
368,2023-11-28,2023,November,Gandaki,Tanahun,Highway,Straight,Night,Minor Injury,Clear,Dry,Motorbike,30,Male
164,2023-05-18,2023,May,Koshi,Ilam,Feeder,Straight,Morning,Minor Injury,Clear,Slippery,Jeep,30,Female
1116,2025-11-09,2025,November,Koshi,Sunsari,Rural,Junction,Afternoon,Damage Only,Clear,Slippery,Car,30,Male
333,2023-10-27,2023,October,Madhesh,Parsa,Highway,Curve,Evening,Damage Only,Clear,Dry,Scooter,50,Male
989,2025-07-11,2025,July,Sudurpashchim,Kanchanpur,Urban,Junction,Evening,Minor Injury,Clear,Wet,Motorbike,50,Male
1173,2026-01-04,2026,January,Sudurpashchim,Kailali,Highway,Junction,Morning,Minor Injury,Clear,Wet,Motorbike,30,Male
1002,2025-07-20,2025,July,Koshi,Morang,Feeder,Straight,Evening,Minor Injury,Fog,Slippery,Car,80,Male
378,2023-12-07,2023,December,Karnali,Surkhet,Urban,Junction,Evening,Serious Injury,Rain,Wet,Jeep,30,Male
310,2023-10-09,2023,October,Lumbini,Banke,Highway,Curve,Evening,Minor Injury,Clear,Damaged,Motorbike,80,Male
156,2023-05-13,2023,May,Madhesh,Parsa,Urban,Junction,Morning,Fatal,Clear,Slippery,Motorbike,80,Female
211,2023-07-03,2023,July,Koshi,Ilam,Urban,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,30,Male
87,2023-03-08,2023,March,Madhesh,Rautahat,Highway,Junction,Morning,Damage Only,Clear,Dry,Jeep,50,Male
169,2023-05-23,2023,May,Gandaki,Gorkha,Urban,Junction,Evening,Minor Injury,Fog,Wet,Motorbike,30,Female
995,2025-07-16,2025,July,Bagmati,Lalitpur,Rural,Straight,Morning,Minor Injury,Dusty,Wet,Jeep,30,Male
52,2023-02-06,2023,February,Koshi,Sunsari,Rural,Straight,Night,Damage Only,Rain,Wet,Motorbike,30,Male
439,2024-02-15,2024,February,Karnali,Dailekh,Rural,Straight,Evening,Damage Only,Clear,Slippery,Car,80,Male
550,2024-05-24,2024,May,Sudurpashchim,Kanchanpur,Urban,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,30,Male
491,2024-03-25,2024,March,Karnali,Jumla,Rural,Curve,Morning,Damage Only,Clear,Wet,Motorbike,30,Male
426,2024-02-03,2024,February,Lumbini,Rupandehi,Rural,Straight,Afternoon,Serious Injury,Clear,Wet,Scooter,80,Female
136,2023-04-26,2023,April,Madhesh,Bara,Highway,Junction,Afternoon,Damage Only,Clear,Wet,Car,80,Male
1192,2026-01-15,2026,January,Koshi,Jhapa,Highway,Junction,Afternoon,Damage Only,Dusty,Dry,Truck,30,Male
55,2023-02-08,2023,February,Bagmati,Kathmandu,Highway,Junction,Evening,Minor Injury,Clear,Wet,Motorbike,50,Male
79,2023-02-27,2023,February,Karnali,Jumla,Feeder,Junction,Evening,Minor Injury,Fog,Damaged,Motorbike,80,Male
431,2024-02-08,2024,February,Karnali,Jumla,Highway,Curve,Evening,Damage Only,Clear,Damaged,Scooter,80,Male
185,2023-06-11,2023,June,Lumbini,Kapilvastu,Urban,Straight,Night,Minor Injury,Clear,Slippery,Motorbike,50,Male
57,2023-02-10,2023,February,Gandaki,Gorkha,Highway,Curve,Afternoon,Serious Injury,Rain,Wet,Truck,50,Male
943,2025-05-26,2025,May,Koshi,Sunsari,Highway,Straight,Morning,Serious Injury,Clear,Damaged,Motorbike,30,Male
851,2025-02-21,2025,February,Gandaki,Kaski,Highway,Straight,Afternoon,Damage Only,Rain,Wet,Truck,30,Male
1164,2025-12-25,2025,December,Karnali,Jumla,Urban,Straight,Evening,Damage Only,Fog,Wet,Car,80,Male
219,2023-07-08,2023,July,Karnali,Surkhet,Urban,Straight,Evening,Minor Injury,Clear,Dry,Car,50,Female
845,2025-02-12,2025,February,Bagmati,Chitwan,Rural,Junction,Morning,Serious Injury,Rain,Wet,Bus,30,Male
114,2023-04-01,2023,April,Madhesh,Bara,Urban,Junction,Afternoon,Damage Only,Rain,Wet,Car,30,Female
549,2024-05-23,2024,May,Madhesh,Parsa,Highway,Straight,Morning,Minor Injury,Rain,Wet,Car,80,Male
1019,2025-08-01,2025,August,Koshi,Sunsari,Highway,Straight,Evening,Minor Injury,Rain,Wet,Truck,80,Male
1073,2025-09-23,2025,September,Bagmati,Bhaktapur,Rural,Curve,Evening,Minor Injury,Fog,Dry,Car,80,Male
175,2023-05-30,2023,May,Madhesh,Sarlahi,Feeder,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,50,Other
1023,2025-08-06,2025,August,Bagmati,Kathmandu,Rural,Straight,Night,Serious Injury,Fog,Damaged,Motorbike,30,Male
616,2024-07-28,2024,July,Sudurpashchim,Achham,Urban,Curve,Morning,Fatal,Rain,Wet,Jeep,30,Male
514,2024-04-16,2024,April,Lumbini,Dang,Highway,Junction,Morning,Serious Injury,Clear,Wet,Motorbike,30,Male
462,2024-03-03,2024,March,Sudurpashchim,Kailali,Feeder,Straight,Morning,Serious Injury,Clear,Dry,Bus,30,Male
287,2023-09-17,2023,September,Koshi,Sunsari,Rural,Junction,Night,Minor Injury,Rain,Wet,Car,30,Male
382,2023-12-11,2023,December,Sudurpashchim,Achham,Urban,Curve,Afternoon,Minor Injury,Clear,Slippery,Car,50,Female
1008,2025-07-25,2025,July,Sudurpashchim,Kailali,Feeder,Curve,Evening,Serious Injury,Clear,Dry,Truck,30,Male
671,2024-09-22,2024,September,Bagmati,Chitwan,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Truck,80,Male
535,2024-05-10,2024,May,Sudurpashchim,Kanchanpur,Feeder,Junction,Morning,Serious Injury,Dusty,Wet,Car,30,Male
910,2025-04-22,2025,April,Bagmati,Chitwan,Rural,Curve,Evening,Serious Injury,Clear,Wet,Bus,30,Male
293,2023-09-20,2023,September,Lumbini,Dang,Rural,Junction,Night,Minor Injury,Clear,Wet,Motorbike,50,Male
124,2023-04-13,2023,April,Sudurpashchim,Kailali,Feeder,Curve,Afternoon,Minor Injury,Clear,Dry,Scooter,50,Female
583,2024-06-30,2024,June,Lumbini,Dang,Urban,Straight,Morning,Minor Injury,Clear,Damaged,Motorbike,80,Female
141,2023-04-29,2023,April,Madhesh,Parsa,Highway,Junction,Morning,Damage Only,Clear,Damaged,Bus,80,Male
736,2024-11-17,2024,November,Gandaki,Lamjung,Urban,Roundabout,Evening,Serious Injury,Dusty,Dry,Motorbike,30,Male
82,2023-03-01,2023,March,Karnali,Kalikot,Highway,Junction,Night,Minor Injury,Clear,Damaged,Motorbike,50,Male
882,2025-03-17,2025,March,Koshi,Ilam,Urban,Junction,Evening,Minor Injury,Rain,Wet,Car,80,Male
740,2024-11-19,2024,November,Sudurpashchim,Doti,Rural,Junction,Evening,Minor Injury,Clear,Damaged,Motorbike,80,Female
1102,2025-10-18,2025,October,Lumbini,Rupandehi,Urban,Junction,Morning,Serious Injury,Clear,Dry,Car,50,Male
909,2025-04-14,2025,April,Bagmati,Chitwan,Urban,Straight,Afternoon,Damage Only,Rain,Wet,Microbus,50,Male
1167,2025-12-27,2025,December,Bagmati,Lalitpur,Rural,Roundabout,Morning,Damage Only,Rain,Wet,Motorbike,50,Female
937,2025-05-21,2025,May,Lumbini,Kapilvastu,Urban,Curve,Night,Minor Injury,Clear,Dry,Car,30,Male
372,2023-12-03,2023,December,Madhesh,Bara,Rural,Curve,Evening,Fatal,Rain,Wet,Motorbike,30,Male
890,2025-03-28,2025,March,Karnali,Jumla,Highway,Curve,Afternoon,Minor Injury,Clear,Wet,Scooter,80,Male
157,2023-05-14,2023,May,Koshi,Morang,Highway,Curve,Morning,Minor Injury,Dusty,Wet,Truck,30,Male
992,2025-07-13,2025,July,Karnali,Jumla,Highway,Straight,Evening,Serious Injury,Clear,Wet,Motorbike,50,Male
622,2024-08-01,2024,August,Karnali,Surkhet,Rural,Straight,Morning,Serious Injury,Clear,Damaged,Car,30,Male
1038,2025-08-21,2025,August,Koshi,Ilam,Highway,Curve,Evening,Minor Injury,Clear,Wet,Car,30,Male
245,2023-08-18,2023,August,Gandaki,Kaski,Highway,Curve,Afternoon,Minor Injury,Dusty,Dry,Truck,30,Male
159,2023-05-16,2023,May,Bagmati,Bhaktapur,Urban,Curve,Afternoon,Damage Only,Clear,Wet,Bus,30,Male
746,2024-11-25,2024,November,Gandaki,Tanahun,Highway,Junction,Afternoon,Damage Only,Dusty,Damaged,Motorbike,30,Male
193,2023-06-22,2023,June,Karnali,Kalikot,Rural,Straight,Night,Serious Injury,Clear,Wet,Bus,80,Male
534,2024-05-08,2024,May,Lumbini,Rupandehi,Rural,Roundabout,Afternoon,Damage Only,Clear,Slippery,Bus,30,Female
904,2025-04-10,2025,April,Gandaki,Tanahun,Urban,Straight,Afternoon,Serious Injury,Clear,Slippery,Bus,50,Male
1004,2025-07-21,2025,July,Madhesh,Parsa,Rural,Straight,Morning,Minor Injury,Clear,Dry,Jeep,80,Male
1070,2025-09-18,2025,September,Koshi,Jhapa,Rural,Junction,Morning,Serious Injury,Rain,Wet,Jeep,80,Male
414,2024-01-22,2024,January,Sudurpashchim,Kailali,Rural,Curve,Night,Minor Injury,Rain,Wet,Motorbike,30,Male
1187,2026-01-14,2026,January,Karnali,Surkhet,Feeder,Straight,Morning,Fatal,Fog,Dry,Motorbike,30,Male
328,2023-10-23,2023,October,Sudurpashchim,Achham,Feeder,Junction,Night,Serious Injury,Clear,Wet,Car,30,Male
129,2023-04-19,2023,April,Bagmati,Kathmandu,Urban,Junction,Afternoon,Serious Injury,Dusty,Slippery,Bus,50,Female
695,2024-10-09,2024,October,Sudurpashchim,Doti,Highway,Junction,Afternoon,Minor Injury,Clear,Wet,Car,30,Male
631,2024-08-12,2024,August,Koshi,Jhapa,Rural,Straight,Afternoon,Minor Injury,Clear,Wet,Motorbike,30,Male
275,2023-09-08,2023,September,Karnali,Surkhet,Highway,Curve,Morning,Minor Injury,Fog,Wet,Bus,80,Male
1148,2025-12-11,2025,December,Gandaki,Lamjung,Rural,Junction,Night,Minor Injury,Dusty,Wet,Motorbike,30,Female
309,2023-10-08,2023,October,Karnali,Surkhet,Feeder,Junction,Afternoon,Fatal,Rain,Wet,Motorbike,50,Male
234,2023-08-01,2023,August,Karnali,Surkhet,Urban,Junction,Morning,Serious Injury,Rain,Wet,Bus,80,Male
1048,2025-09-01,2025,September,Lumbini,Dang,Feeder,Junction,Night,Fatal,Clear,Wet,Truck,80,Male
623,2024-08-02,2024,August,Gandaki,Gorkha,Urban,Straight,Afternoon,Minor Injury,Clear,Damaged,Car,50,Male
644,2024-08-23,2024,August,Madhesh,Rautahat,Highway,Curve,Afternoon,Minor Injury,Clear,Wet,Car,50,Male
479,2024-03-18,2024,March,Lumbini,Banke,Highway,Junction,Afternoon,Serious Injury,Rain,Wet,Car,30,Female
472,2024-03-11,2024,March,Madhesh,Bara,Highway,Straight,Evening,Damage Only,Clear,Dry,Scooter,80,Male
926,2025-05-10,2025,May,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Damage Only,Dusty,Wet,Truck,80,Male
1098,2025-10-13,2025,October,Karnali,Surkhet,Urban,Junction,Night,Minor Injury,Clear,Damaged,Car,80,Female
627,2024-08-09,2024,August,Sudurpashchim,Achham,Highway,Curve,Afternoon,Minor Injury,Rain,Wet,Scooter,80,Male
395,2023-12-26,2023,December,Lumbini,Banke,Urban,Curve,Morning,Minor Injury,Clear,Slippery,Motorbike,50,Male
637,2024-08-17,2024,August,Bagmati,Lalitpur,Rural,Curve,Evening,Minor Injury,Clear,Wet,Bus,50,Male
768,2024-12-10,2024,December,Sudurpashchim,Achham,Highway,Curve,Afternoon,Fatal,Clear,Damaged,Car,30,Male
533,2024-05-07,2024,May,Madhesh,Bara,Urban,Junction,Afternoon,Minor Injury,Clear,Slippery,Car,80,Female
718,2024-11-02,2024,November,Madhesh,Parsa,Rural,Roundabout,Afternoon,Fatal,Fog,Wet,Motorbike,30,Male
667,2024-09-20,2024,September,Karnali,Dailekh,Urban,Straight,Evening,Serious Injury,Fog,Wet,Car,30,Male
598,2024-07-16,2024,July,Madhesh,Rautahat,Urban,Straight,Evening,Damage Only,Clear,Slippery,Car,50,Female
482,2024-03-19,2024,March,Karnali,Surkhet,Rural,Junction,Afternoon,Minor Injury,Clear,Dry,Motorbike,50,Male
1103,2025-10-18,2025,October,Sudurpashchim,Kailali,Highway,Junction,Afternoon,Minor Injury,Fog,Damaged,Jeep,30,Male
315,2023-10-12,2023,October,Gandaki,Tanahun,Highway,Junction,Afternoon,Damage Only,Rain,Wet,Motorbike,30,Male
729,2024-11-11,2024,November,Lumbini,Dang,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Truck,30,Male
210,2023-07-03,2023,July,Gandaki,Kaski,Rural,Junction,Night,Damage Only,Clear,Slippery,Truck,30,Male
934,2025-05-18,2025,May,Sudurpashchim,Kailali,Highway,Curve,Night,Minor Injury,Fog,Dry,Bus,50,Male
434,2024-02-10,2024,February,Madhesh,Parsa,Highway,Straight,Evening,Damage Only,Clear,Damaged,Motorbike,30,Female
329,2023-10-23,2023,October,Bagmati,Bhaktapur,Feeder,Straight,Night,Minor Injury,Clear,Damaged,Motorbike,30,Male
261,2023-09-01,2023,September,Madhesh,Parsa,Urban,Curve,Afternoon,Minor Injury,Clear,Damaged,Microbus,80,Male
1117,2025-11-11,2025,November,Lumbini,Dang,Urban,Junction,Afternoon,Minor Injury,Clear,Slippery,Car,80,Male
307,2023-10-06,2023,October,Bagmati,Bhaktapur,Urban,Junction,Afternoon,Damage Only,Clear,Damaged,Motorbike,30,Male
1067,2025-09-15,2025,September,Sudurpashchim,Kailali,Highway,Curve,Morning,Damage Only,Rain,Wet,Car,30,Male
928,2025-05-12,2025,May,Karnali,Jumla,Feeder,Straight,Morning,Minor Injury,Clear,Damaged,Car,50,Male
1025,2025-08-07,2025,August,Sudurpashchim,Achham,Highway,Junction,Afternoon,Fatal,Clear,Wet,Scooter,30,Male
271,2023-09-05,2023,September,Lumbini,Banke,Feeder,Straight,Afternoon,Damage Only,Clear,Slippery,Motorbike,30,Male
291,2023-09-18,2023,September,Sudurpashchim,Kailali,Highway,Junction,Morning,Minor Injury,Clear,Damaged,Motorbike,80,Male
813,2025-01-19,2025,January,Madhesh,Sarlahi,Urban,Straight,Evening,Damage Only,Clear,Wet,Motorbike,50,Female
97,2023-03-18,2023,March,Madhesh,Sarlahi,Rural,Straight,Night,Damage Only,Clear,Slippery,Jeep,30,Male
888,2025-03-26,2025,March,Bagmati,Bhaktapur,Highway,Junction,Morning,Minor Injury,Fog,Dry,Motorbike,80,Male
819,2025-01-23,2025,January,Madhesh,Parsa,Highway,Junction,Evening,Minor Injury,Clear,Wet,Microbus,80,Female
32,2023-01-22,2023,January,Madhesh,Parsa,Feeder,Curve,Evening,Damage Only,Rain,Wet,Scooter,30,Male
763,2024-12-06,2024,December,Karnali,Kalikot,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Motorbike,30,Male
954,2025-06-02,2025,June,Gandaki,Kaski,Rural,Straight,Evening,Minor Injury,Clear,Damaged,Jeep,30,Male
320,2023-10-15,2023,October,Lumbini,Banke,Rural,Junction,Afternoon,Minor Injury,Fog,Dry,Car,80,Male
299,2023-09-28,2023,September,Gandaki,Lamjung,Urban,Junction,Morning,Minor Injury,Fog,Slippery,Scooter,30,Male
200,2023-06-25,2023,June,Madhesh,Sarlahi,Urban,Junction,Afternoon,Minor Injury,Clear,Wet,Motorbike,50,Male
561,2024-06-07,2024,June,Koshi,Ilam,Urban,Straight,Evening,Fatal,Clear,Dry,Truck,50,Female
179,2023-06-02,2023,June,Madhesh,Rautahat,Highway,Junction,Morning,Minor Injury,Rain,Wet,Scooter,30,Female
1132,2025-11-29,2025,November,Koshi,Morang,Rural,Junction,Morning,Serious Injury,Rain,Wet,Car,30,Male
89,2023-03-10,2023,March,Bagmati,Kathmandu,Highway,Roundabout,Morning,Minor Injury,Rain,Wet,Scooter,30,Male
788,2024-12-28,2024,December,Gandaki,Gorkha,Rural,Straight,Morning,Minor Injury,Clear,Damaged,Bus,30,Male
725,2024-11-08,2024,November,Sudurpashchim,Achham,Rural,Junction,Evening,Damage Only,Clear,Wet,Bus,30,Male
827,2025-01-31,2025,January,Sudurpashchim,Achham,Highway,Straight,Morning,Serious Injury,Clear,Slippery,Car,80,Male
209,2023-07-02,2023,July,Bagmati,Bhaktapur,Rural,Straight,Evening,Minor Injury,Dusty,Wet,Motorbike,30,Female
1040,2025-08-24,2025,August,Karnali,Surkhet,Feeder,Straight,Evening,Damage Only,Clear,Wet,Bus,30,Male
297,2023-09-26,2023,September,Bagmati,Chitwan,Rural,Junction,Morning,Serious Injury,Rain,Wet,Car,80,Male
998,2025-07-18,2025,July,Koshi,Sunsari,Highway,Straight,Evening,Damage Only,Clear,Dry,Microbus,50,Male
498,2024-03-31,2024,March,Lumbini,Kapilvastu,Urban,Straight,Evening,Minor Injury,Dusty,Dry,Scooter,50,Male
835,2025-02-04,2025,February,Karnali,Surkhet,Urban,Curve,Night,Damage Only,Rain,Wet,Scooter,50,Male
430,2024-02-07,2024,February,Gandaki,Kaski,Urban,Junction,Afternoon,Fatal,Clear,Slippery,Car,80,Female
507,2024-04-06,2024,April,Karnali,Jumla,Urban,Straight,Night,Minor Injury,Clear,Wet,Jeep,30,Male
831,2025-02-02,2025,February,Bagmati,Bhaktapur,Highway,Curve,Night,Damage Only,Clear,Slippery,Scooter,50,Female
694,2024-10-09,2024,October,Madhesh,Sarlahi,Highway,Straight,Afternoon,Minor Injury,Clear,Slippery,Scooter,30,Male
11,2023-01-10,2023,January,Lumbini,Dang,Highway,Roundabout,Night,Minor Injury,Dusty,Wet,Car,80,Male
848,2025-02-14,2025,February,Bagmati,Kathmandu,Urban,Straight,Night,Minor Injury,Fog,Damaged,Car,30,Male
463,2024-03-04,2024,March,Koshi,Jhapa,Feeder,Junction,Morning,Damage Only,Rain,Wet,Scooter,50,Male
199,2023-06-25,2023,June,Koshi,Sunsari,Highway,Straight,Evening,Serious Injury,Clear,Damaged,Car,30,Female
60,2023-02-12,2023,February,Gandaki,Gorkha,Rural,Junction,Afternoon,Minor Injury,Rain,Wet,Bus,50,Male
907,2025-04-13,2025,April,Madhesh,Rautahat,Rural,Roundabout,Morning,Fatal,Rain,Wet,Bus,50,Male
997,2025-07-18,2025,July,Madhesh,Bara,Rural,Curve,Night,Serious Injury,Dusty,Slippery,Bus,50,Female
276,2023-09-08,2023,September,Sudurpashchim,Achham,Highway,Junction,Night,Damage Only,Clear,Slippery,Microbus,50,Male
809,2025-01-12,2025,January,Bagmati,Lalitpur,Feeder,Straight,Evening,Damage Only,Clear,Slippery,Motorbike,80,Female
908,2025-04-14,2025,April,Gandaki,Gorkha,Highway,Straight,Morning,Fatal,Fog,Damaged,Scooter,50,Male
658,2024-09-10,2024,September,Karnali,Kalikot,Urban,Straight,Night,Serious Injury,Clear,Slippery,Jeep,80,Male
957,2025-06-05,2025,June,Lumbini,Rupandehi,Rural,Junction,Afternoon,Damage Only,Clear,Slippery,Scooter,80,Male
886,2025-03-25,2025,March,Karnali,Surkhet,Urban,Straight,Afternoon,Minor Injury,Clear,Damaged,Truck,30,Female
221,2023-07-13,2023,July,Koshi,Ilam,Urban,Straight,Evening,Serious Injury,Clear,Wet,Truck,30,Female
789,2024-12-30,2024,December,Sudurpashchim,Achham,Urban,Curve,Night,Damage Only,Fog,Wet,Car,30,Female
712,2024-10-29,2024,October,Gandaki,Tanahun,Rural,Curve,Morning,Damage Only,Clear,Damaged,Scooter,30,Male
714,2024-10-30,2024,October,Gandaki,Gorkha,Urban,Junction,Night,Damage Only,Clear,Slippery,Scooter,80,Male
1113,2025-11-06,2025,November,Sudurpashchim,Doti,Feeder,Straight,Evening,Minor Injury,Rain,Wet,Car,30,Female
1191,2026-01-15,2026,January,Karnali,Surkhet,Urban,Curve,Morning,Damage Only,Clear,Wet,Truck,30,Male
790,2024-12-30,2024,December,Koshi,Jhapa,Highway,Junction,Morning,Minor Injury,Rain,Wet,Motorbike,50,Male
416,2024-01-24,2024,January,Bagmati,Lalitpur,Rural,Junction,Afternoon,Damage Only,Clear,Wet,Microbus,30,Male
899,2025-04-07,2025,April,Koshi,Sunsari,Rural,Junction,Afternoon,Minor Injury,Clear,Damaged,Bus,50,Female
935,2025-05-18,2025,May,Karnali,Kalikot,Highway,Junction,Morning,Fatal,Fog,Slippery,Scooter,50,Male
266,2023-09-03,2023,September,Koshi,Sunsari,Urban,Curve,Evening,Serious Injury,Clear,Wet,Truck,30,Female
632,2024-08-14,2024,August,Lumbini,Rupandehi,Highway,Junction,Afternoon,Damage Only,Clear,Slippery,Car,30,Male
248,2023-08-22,2023,August,Lumbini,Dang,Feeder,Straight,Evening,Serious Injury,Clear,Wet,Truck,80,Male
