Accident_ID,Year,Month,Month_Name,Accident_Date,Province,District,City / Place,Latitude,Longitude,Road_Type,Vehicle_Type,Accident_Cause,Time_of_Day,Weather_Condition,Number_of_Vehicles_Involved,Injuries,Fatalities,Total_People_Killed,Emergency_Response_Time_Minutes,Victim_Gender,Victim_Age_Group,Road_User_Type
ACC-00308,2021,2,February,2021-02-01,Gandaki,Kaski,Pokhara,28.225856,83.987039,Urban Road,Motorcycle,Landslide,Night,Rainy,3,1,0,0,52,Male,Adult (25-44),Motorcyclist
ACC-00357,2021,2,February,2021-02-01,Bagmati,Kathmandu,Thankot,27.672591,85.190543,Rural Road,Bicycle,Human Error,Morning,Foggy,4,5,2,2,45,Male,Middle Aged (45-64),Cyclist
ACC-00360,2021,2,February,2021-02-01,Sudurpashchim,Kailali,Ghodaghodi,28.678017,80.773,Rural Road,Motorcycle,Landslide,Morning,Rainy,2,1,1,1,71,Male,Adult (25-44),Motorcyclist
ACC-00464,2021,2,February,2021-02-01,Koshi,Morang,Letang,26.749398,87.584623,Highway,Car,Flood,Afternoon,Rainy,4,8,2,2,33,Male,Child (0-14),Driver
ACC-00502,2021,2,February,2021-02-01,Gandaki,Kaski,Bagar,28.235698,84.015706,Highway,Motorcycle,Weather,Afternoon,Foggy,4,2,0,0,48,Male,Adult (25-44),Motorcyclist
ACC-00528,2021,2,February,2021-02-01,Bagmati,Kathmandu,Kirtipur,27.679033,85.282269,Highway,Motorcycle,Human Error,Afternoon,Rainy,2,6,2,2,27,Male,Adult (25-44),Motorcyclist
ACC-00541,2021,2,February,2021-02-01,Bagmati,Kathmandu,Budhanilkantha,27.764585,85.343664,Urban Road,Car,Road Condition,Afternoon,Foggy,3,2,1,1,52,Female,Senior (65+),Driver
ACC-00016,2021,3,March,2021-03-01,Gandaki,Kaski,Birauta,28.177825,83.967062,Urban Road,Bicycle,Road Condition,Night,Clear,3,3,3,3,14,Male,Adult (25-44),Cyclist
ACC-00197,2021,3,March,2021-03-01,Bagmati,Kathmandu,Swayambhu,27.706368,85.290122,Urban Road,Car,Overspeeding,Night,Rainy,1,3,2,2,54,Female,Adult (25-44),Passenger
ACC-00262,2021,3,March,2021-03-01,Sudurpashchim,Kailali,Ghodaghodi,28.686929,80.799007,Hill Road,Truck,Overspeeding,Night,Rainy,1,3,2,2,53,Other,Middle Aged (45-64),Passenger
ACC-00315,2021,3,March,2021-03-01,Bagmati,Kathmandu,Tokha,27.746305,85.290492,Highway,Motorcycle,Weather,Evening,Clear,4,4,1,1,49,Female,Adult (25-44),Motorcyclist
ACC-00378,2021,3,March,2021-03-01,Madhesh,Dhanusha,Mukhiyapatti,26.707533,85.920696,Rural Road,Motorcycle,Weather,Afternoon,Rainy,1,1,1,1,73,Male,Adult (25-44),Motorcyclist
ACC-00383,2021,3,March,2021-03-01,Karnali,Surkhet,Raniyapur,28.577459,81.647209,Urban Road,Tempo,Road Condition,Evening,Rainy,2,4,2,2,22,Male,Senior (65+),Driver
ACC-00402,2021,3,March,2021-03-01,Sudurpashchim,Kailali,Dhangadhi,28.717778,80.539843,Hill Road,Motorcycle,Human Error,Evening,Clear,4,5,3,3,62,Female,Adult (25-44),Motorcyclist
ACC-00443,2021,3,March,2021-03-01,Koshi,Morang,Kanepokhari,26.573171,87.154094,Urban Road,Bus,Drunk Driving,Evening,Foggy,1,6,0,0,47,Male,Young Adult (15-24),Driver
ACC-00526,2021,3,March,2021-03-01,Koshi,Morang,Biratnagar,26.445144,87.295205,Highway,Motorcycle,Overspeeding,Evening,Clear,4,2,0,0,48,Male,Adult (25-44),Motorcyclist
ACC-00529,2021,3,March,2021-03-01,Karnali,Surkhet,Gurbhakot,28.474589,81.777822,Urban Road,Motorcycle,Landslide,Evening,Rainy,3,4,1,1,14,Male,Young Adult (15-24),Motorcyclist
ACC-00143,2021,4,April,2021-04-01,Karnali,Surkhet,Birendranagar,28.620469,81.629054,Urban Road,Motorcycle,Overspeeding,Night,Rainy,1,1,0,0,30,Male,Adult (25-44),Motorcyclist
ACC-00283,2021,4,April,2021-04-01,Lumbini,Rupandehi,Omsatiya,27.603678,83.459278,Urban Road,Bicycle,Flood,Night,Rainy,2,1,1,1,43,Male,Young Adult (15-24),Cyclist
ACC-00349,2021,4,April,2021-04-01,Madhesh,Dhanusha,Aurahi,26.752355,85.883244,Urban Road,Motorcycle,Road Condition,Evening,Foggy,4,1,1,1,23,Male,Child (0-14),Motorcyclist
ACC-00416,2021,4,April,2021-04-01,Gandaki,Kaski,Birauta,28.202257,83.990994,Hill Road,Car,Overspeeding,Night,Clear,2,2,0,0,24,Male,Young Adult (15-24),Passenger
ACC-00455,2021,4,April,2021-04-01,Karnali,Surkhet,Panchapuri,28.594309,81.698998,Hill Road,Motorcycle,Weather,Night,Clear,4,5,1,1,30,Male,Middle Aged (45-64),Motorcyclist
ACC-00040,2021,5,May,2021-05-01,Lumbini,Rupandehi,Siddharthanagar,27.537883,83.436486,Rural Road,Tempo,Weather,Night,Foggy,2,0,0,0,24,Male,Young Adult (15-24),Passenger
ACC-00090,2021,5,May,2021-05-01,Karnali,Surkhet,Bheriganga,28.535485,81.631117,Urban Road,Motorcycle,Road Condition,Evening,Foggy,1,5,0,0,44,Male,Adult (25-44),Motorcyclist
ACC-00150,2021,5,May,2021-05-01,Gandaki,Kaski,Mahendrapul,28.231845,84.004475,Rural Road,Motorcycle,Landslide,Night,Rainy,3,1,0,0,39,Male,Adult (25-44),Motorcyclist
ACC-00193,2021,5,May,2021-05-01,Madhesh,Dhanusha,Hansapur,26.696959,85.886738,Rural Road,Motorcycle,Drunk Driving,Morning,Clear,1,5,1,1,62,Female,Middle Aged (45-64),Motorcyclist
ACC-00217,2021,5,May,2021-05-01,Sudurpashchim,Kailali,Lamki,28.627077,80.697952,Highway,Motorcycle,Overspeeding,Morning,Foggy,3,2,1,1,15,Male,Middle Aged (45-64),Motorcyclist
ACC-00329,2021,5,May,2021-05-01,Bagmati,Kathmandu,Kirtipur,27.705589,85.247012,Rural Road,Motorcycle,Road Condition,Morning,Rainy,3,1,0,0,72,Male,Child (0-14),Motorcyclist
ACC-00347,2021,5,May,2021-05-01,Madhesh,Dhanusha,Bateshwor,26.731934,85.895872,Hill Road,Motorcycle,Landslide,Afternoon,Rainy,2,0,0,0,46,Male,Young Adult (15-24),Motorcyclist
ACC-00363,2021,5,May,2021-05-01,Madhesh,Dhanusha,Ganeshman Charnath,26.752316,85.89887,Urban Road,Car,Drunk Driving,Evening,Foggy,4,6,2,2,18,Male,Adult (25-44),Passenger
ACC-00417,2021,5,May,2021-05-01,Koshi,Morang,Budhiganga,26.45003,87.272255,Urban Road,Bus,Drunk Driving,Night,Foggy,3,3,3,3,52,Male,Middle Aged (45-64),Driver
ACC-00513,2021,5,May,2021-05-01,Koshi,Morang,Biratnagar,26.44695,87.255824,Rural Road,Bus,Overspeeding,Afternoon,Rainy,2,2,2,2,44,Female,Middle Aged (45-64),Driver
ACC-00520,2021,5,May,2021-05-01,Sudurpashchim,Kailali,Tikapur,28.558807,81.148038,Urban Road,Truck,Human Error,Afternoon,Rainy,1,1,1,1,12,Male,Young Adult (15-24),Driver
ACC-00542,2021,5,May,2021-05-01,Madhesh,Dhanusha,Aurahi,26.794389,85.914743,Urban Road,Motorcycle,Weather,Night,Rainy,1,3,2,2,60,Male,Adult (25-44),Motorcyclist
ACC-00023,2021,6,June,2021-06-01,Lumbini,Rupandehi,Sainamaina,27.657647,83.418496,Urban Road,Motorcycle,Overspeeding,Evening,Clear,4,4,1,1,20,Male,Adult (25-44),Motorcyclist
ACC-00081,2021,6,June,2021-06-01,Lumbini,Rupandehi,Siddharthanagar,27.519404,83.443455,Hill Road,Motorcycle,Flood,Evening,Rainy,2,6,3,3,72,Female,Middle Aged (45-64),Motorcyclist
ACC-00084,2021,6,June,2021-06-01,Gandaki,Kaski,Lamachaur,28.22639,84.013297,Urban Road,Motorcycle,Landslide,Night,Rainy,3,0,0,0,30,Male,Adult (25-44),Motorcyclist
ACC-00133,2021,6,June,2021-06-01,Madhesh,Dhanusha,Janakpur,26.699356,85.928078,Urban Road,Motorcycle,Human Error,Night,Clear,2,6,3,3,22,Male,Young Adult (15-24),Motorcyclist
ACC-00199,2021,6,June,2021-06-01,Koshi,Morang,Jahada,26.530785,87.250374,Highway,Motorcycle,Flood,Evening,Rainy,1,2,0,0,31,Female,Middle Aged (45-64),Motorcyclist
ACC-00371,2021,6,June,2021-06-01,Sudurpashchim,Kailali,Janaki,28.59925,80.593922,Urban Road,Motorcycle,Road Condition,Evening,Foggy,2,4,0,0,30,Male,Middle Aged (45-64),Motorcyclist
ACC-00395,2021,6,June,2021-06-01,Lumbini,Rupandehi,Tilottama,27.63091,83.464037,Rural Road,Motorcycle,Overspeeding,Night,Foggy,3,5,1,1,29,Male,Young Adult (15-24),Motorcyclist
ACC-00439,2021,6,June,2021-06-01,Sudurpashchim,Kailali,Khailad,28.687296,80.593328,Urban Road,Motorcycle,Weather,Evening,Rainy,4,1,1,1,23,Male,Young Adult (15-24),Motorcyclist
ACC-00474,2021,6,June,2021-06-01,Gandaki,Kaski,Lakeside,28.23375,83.979013,Highway,Tempo,Drunk Driving,Afternoon,Clear,3,5,1,1,42,Female,Senior (65+),Driver
ACC-00181,2021,7,July,2021-07-01,Karnali,Surkhet,Panchapuri,28.60712,81.728018,Urban Road,Motorcycle,Road Condition,Night,Foggy,4,2,2,2,5,Male,Young Adult (15-24),Motorcyclist
ACC-00219,2021,7,July,2021-07-01,Gandaki,Kaski,Malepatan,28.221891,83.969253,Rural Road,Tempo,Drunk Driving,Morning,Rainy,3,0,0,0,23,Male,Young Adult (15-24),Passenger
ACC-00259,2021,7,July,2021-07-01,Karnali,Surkhet,Panchapuri,28.628498,81.721364,Highway,Bus,Drunk Driving,Evening,Clear,2,4,2,2,21,Male,Adult (25-44),Driver
ACC-00457,2021,7,July,2021-07-01,Sudurpashchim,Kailali,Joshipur,28.633806,80.6603,Hill Road,Motorcycle,Drunk Driving,Afternoon,Foggy,1,4,0,0,51,Male,Adult (25-44),Motorcyclist
ACC-00466,2021,7,July,2021-07-01,Koshi,Morang,Letang,26.727407,87.61691,Rural Road,Bus,Drunk Driving,Morning,Foggy,3,1,0,0,18,Male,Senior (65+),Passenger
ACC-00057,2021,8,August,2021-08-01,Lumbini,Rupandehi,Gaidahawa,27.574479,83.373482,Hill Road,Motorcycle,Drunk Driving,Night,Rainy,3,4,2,2,44,Male,Young Adult (15-24),Motorcyclist
ACC-00175,2021,8,August,2021-08-01,Sudurpashchim,Kailali,Hasuliya,28.533217,80.791542,Highway,Motorcycle,Human Error,Night,Foggy,4,6,4,4,31,Male,Adult (25-44),Motorcyclist
ACC-00178,2021,8,August,2021-08-01,Bagmati,Kathmandu,Kirtipur,27.663769,85.298732,Hill Road,Motorcycle,Flood,Afternoon,Rainy,2,6,2,2,73,Male,Middle Aged (45-64),Motorcyclist
ACC-00195,2021,8,August,2021-08-01,Lumbini,Rupandehi,Lumbini,27.482739,83.284599,Urban Road,Motorcycle,Weather,Afternoon,Clear,3,1,1,1,54,Male,Young Adult (15-24),Motorcyclist
ACC-00196,2021,8,August,2021-08-01,Madhesh,Dhanusha,Janakpur,26.750321,85.894737,Urban Road,Tempo,Drunk Driving,Morning,Rainy,4,1,1,1,20,Male,Middle Aged (45-64),Passenger
ACC-00220,2021,8,August,2021-08-01,Madhesh,Dhanusha,Janakpur,26.711217,85.932291,Hill Road,Motorcycle,Weather,Night,Foggy,4,5,2,2,23,Female,Middle Aged (45-64),Motorcyclist
ACC-00231,2021,8,August,2021-08-01,Karnali,Surkhet,Bheriganga,28.539095,81.640797,Hill Road,Motorcycle,Human Error,Morning,Rainy,2,2,2,2,69,Female,Adult (25-44),Motorcyclist
ACC-00252,2021,8,August,2021-08-01,Sudurpashchim,Kailali,Attariya,28.661395,80.591824,Hill Road,Motorcycle,Weather,Night,Clear,1,4,0,0,70,Male,Young Adult (15-24),Motorcyclist
ACC-00364,2021,8,August,2021-08-01,Madhesh,Dhanusha,Kamala,26.707097,85.956667,Urban Road,Motorcycle,Human Error,Afternoon,Foggy,2,2,1,1,51,Male,Adult (25-44),Motorcyclist
ACC-00411,2021,8,August,2021-08-01,Gandaki,Kaski,Birauta,28.213583,83.984799,Urban Road,Motorcycle,Flood,Morning,Rainy,4,1,0,0,27,Male,Young Adult (15-24),Motorcyclist
ACC-00433,2021,8,August,2021-08-01,Gandaki,Kaski,Lakeside,28.189994,83.934874,Urban Road,Motorcycle,Drunk Driving,Night,Foggy,3,1,1,1,6,Male,Young Adult (15-24),Motorcyclist
ACC-00435,2021,8,August,2021-08-01,Madhesh,Dhanusha,Janakpur,26.746383,85.924809,Highway,Motorcycle,Overspeeding,Evening,Clear,1,7,0,0,55,Male,Middle Aged (45-64),Motorcyclist
ACC-00462,2021,8,August,2021-08-01,Gandaki,Kaski,Malepatan,28.229377,83.957033,Urban Road,Car,Flood,Evening,Rainy,4,6,0,0,57,Male,Senior (65+),Driver
ACC-00182,2021,9,September,2021-09-01,Karnali,Surkhet,Chandannath,28.609849,81.691493,Urban Road,Motorcycle,Flood,Afternoon,Rainy,4,2,1,1,58,Male,Middle Aged (45-64),Motorcyclist
ACC-00311,2021,9,September,2021-09-01,Bagmati,Kathmandu,Thamel,27.700588,85.300214,Hill Road,Tempo,Road Condition,Evening,Rainy,4,4,0,0,62,Male,Middle Aged (45-64),Passenger
ACC-00342,2021,9,September,2021-09-01,Sudurpashchim,Kailali,Pathariya,28.655461,80.60323,Hill Road,Motorcycle,Road Condition,Night,Foggy,2,0,0,0,51,Male,Middle Aged (45-64),Motorcyclist
ACC-00477,2021,9,September,2021-09-01,Madhesh,Dhanusha,Mukhiyapatti,26.716977,85.967889,Hill Road,Motorcycle,Weather,Evening,Clear,2,1,1,1,23,Male,Middle Aged (45-64),Motorcyclist
ACC-00481,2021,9,September,2021-09-01,Karnali,Surkhet,Lekbeshi,28.561386,81.587729,Highway,Motorcycle,Overspeeding,Night,Foggy,4,2,1,1,47,Male,Child (0-14),Motorcyclist
ACC-00499,2021,9,September,2021-09-01,Gandaki,Kaski,Nadipur,28.249515,83.977036,Rural Road,Car,Flood,Afternoon,Rainy,1,0,0,0,33,Female,Middle Aged (45-64),Passenger
ACC-00518,2021,9,September,2021-09-01,Lumbini,Rupandehi,Sainamaina,27.682288,83.447238,Highway,Tempo,Landslide,Night,Rainy,1,4,1,1,57,Female,Young Adult (15-24),Driver
ACC-00039,2021,10,October,2021-10-01,Sudurpashchim,Kailali,Dhangadhi,28.721977,80.546962,Highway,Motorcycle,Landslide,Morning,Rainy,2,5,2,2,54,Male,Young Adult (15-24),Motorcyclist
ACC-00188,2021,10,October,2021-10-01,Sudurpashchim,Kailali,Attariya,28.663796,80.573401,Rural Road,Motorcycle,Weather,Evening,Clear,2,1,1,1,59,Male,Middle Aged (45-64),Motorcyclist
ACC-00291,2021,10,October,2021-10-01,Lumbini,Rupandehi,Butwal,27.673845,83.433306,Highway,Motorcycle,Weather,Evening,Rainy,1,7,1,1,45,Male,Child (0-14),Motorcyclist
ACC-00348,2021,10,October,2021-10-01,Karnali,Surkhet,Latikoili,28.613255,81.645653,Hill Road,Car,Road Condition,Night,Rainy,1,4,0,0,46,Male,Middle Aged (45-64),Driver
ACC-00353,2021,10,October,2021-10-01,Bagmati,Kathmandu,Koteshwor,27.701913,85.376626,Hill Road,Motorcycle,Weather,Night,Clear,1,4,4,4,33,Male,Young Adult (15-24),Motorcyclist
ACC-00404,2021,10,October,2021-10-01,Lumbini,Rupandehi,Devdaha,27.62705,83.481812,Urban Road,Truck,Human Error,Afternoon,Clear,4,6,1,1,22,Female,Senior (65+),Passenger
ACC-00431,2021,10,October,2021-10-01,Lumbini,Rupandehi,Gaidahawa,27.561629,83.397682,Hill Road,Motorcycle,Flood,Evening,Rainy,3,2,2,2,62,Male,Young Adult (15-24),Motorcyclist
ACC-00508,2021,10,October,2021-10-01,Karnali,Surkhet,Chandannath,28.575312,81.679937,Rural Road,Truck,Road Condition,Morning,Foggy,1,1,0,0,54,Female,Adult (25-44),Driver
ACC-00545,2021,10,October,2021-10-01,Gandaki,Kaski,Rambazar,28.217256,83.969565,Hill Road,Tempo,Drunk Driving,Evening,Clear,4,3,1,1,43,Male,Young Adult (15-24),Passenger
ACC-00014,2021,11,November,2021-11-01,Karnali,Surkhet,Barahatal,28.615415,81.578021,Rural Road,Motorcycle,Overspeeding,Night,Clear,3,6,1,1,33,Male,Child (0-14),Motorcyclist
ACC-00075,2021,11,November,2021-11-01,Bagmati,Kathmandu,Baneshwor,27.691313,85.353911,Hill Road,Motorcycle,Road Condition,Afternoon,Clear,3,0,0,0,34,Male,Adult (25-44),Motorcyclist
ACC-00078,2021,11,November,2021-11-01,Gandaki,Kaski,Birauta,28.195333,83.968812,Rural Road,Truck,Landslide,Afternoon,Rainy,4,3,1,1,44,Male,Middle Aged (45-64),Passenger
ACC-00242,2021,11,November,2021-11-01,Gandaki,Kaski,Nadipur,28.227388,83.995635,Highway,Tempo,Overspeeding,Morning,Foggy,4,4,3,3,12,Female,Adult (25-44),Driver
ACC-00281,2021,11,November,2021-11-01,Madhesh,Dhanusha,Mithila,26.679441,85.906121,Urban Road,Motorcycle,Landslide,Morning,Rainy,4,5,3,3,35,Female,Young Adult (15-24),Motorcyclist
ACC-00309,2021,11,November,2021-11-01,Karnali,Surkhet,Gurbhakot,28.491605,81.740236,Urban Road,Tempo,Flood,Night,Rainy,4,6,3,3,40,Female,Adult (25-44),Driver
ACC-00318,2021,11,November,2021-11-01,Bagmati,Kathmandu,Gongabu,27.721929,85.309626,Urban Road,Motorcycle,Landslide,Night,Rainy,3,0,0,0,55,Male,Young Adult (15-24),Motorcyclist
ACC-00381,2021,11,November,2021-11-01,Madhesh,Dhanusha,Mukhiyapatti,26.744501,85.977625,Rural Road,Motorcycle,Road Condition,Morning,Rainy,3,4,0,0,48,Male,Young Adult (15-24),Motorcyclist
ACC-00440,2021,11,November,2021-11-01,Sudurpashchim,Kailali,Janaki,28.626345,80.612046,Urban Road,Motorcycle,Weather,Morning,Foggy,1,1,1,1,30,Male,Middle Aged (45-64),Motorcyclist
ACC-00061,2021,12,December,2021-12-01,Sudurpashchim,Kailali,Janaki,28.575983,80.644627,Highway,Motorcycle,Drunk Driving,Morning,Foggy,4,7,2,2,26,Male,Child (0-14),Motorcyclist
ACC-00161,2021,12,December,2021-12-01,Lumbini,Rupandehi,Sainamaina,27.65074,83.424829,Hill Road,Motorcycle,Drunk Driving,Afternoon,Rainy,4,1,0,0,35,Male,Middle Aged (45-64),Motorcyclist
ACC-00269,2021,12,December,2021-12-01,Gandaki,Kaski,Nadipur,28.190354,84.003217,Rural Road,Truck,Overspeeding,Evening,Foggy,1,2,2,2,37,Male,Child (0-14),Driver
ACC-00337,2021,12,December,2021-12-01,Madhesh,Dhanusha,Mithila,26.715464,85.921166,Highway,Motorcycle,Drunk Driving,Evening,Clear,1,4,2,2,56,Female,Adult (25-44),Motorcyclist
ACC-00482,2021,12,December,2021-12-01,Bagmati,Kathmandu,Swayambhu,27.688906,85.290207,Rural Road,Motorcycle,Drunk Driving,Night,Rainy,1,0,0,0,63,Male,Adult (25-44),Motorcyclist
ACC-00071,2022,1,January,2022-01-01,Karnali,Surkhet,Raniyapur,28.558131,81.654498,Hill Road,Motorcycle,Weather,Morning,Rainy,1,1,0,0,42,Female,Young Adult (15-24),Motorcyclist
ACC-00126,2022,1,January,2022-01-01,Madhesh,Dhanusha,Janakpur,26.733154,85.936031,Urban Road,Motorcycle,Weather,Afternoon,Foggy,4,4,3,3,60,Male,Senior (65+),Motorcyclist
ACC-00131,2022,1,January,2022-01-01,Koshi,Morang,Pathari,26.679041,87.535033,Hill Road,Bicycle,Drunk Driving,Night,Rainy,4,3,2,2,66,Male,Middle Aged (45-64),Cyclist
ACC-00134,2022,1,January,2022-01-01,Bagmati,Kathmandu,Tokha,27.747535,85.305436,Hill Road,Truck,Human Error,Afternoon,Rainy,2,4,3,3,70,Male,Adult (25-44),Driver
ACC-00191,2022,1,January,2022-01-01,Sudurpashchim,Kailali,Dhangadhi,28.700242,80.535828,Hill Road,Bicycle,Weather,Evening,Foggy,4,3,3,3,23,Male,Adult (25-44),Cyclist
ACC-00246,2022,1,January,2022-01-01,Gandaki,Kaski,Hemja,28.282857,83.955989,Hill Road,Motorcycle,Landslide,Evening,Rainy,4,5,0,0,24,Female,Middle Aged (45-64),Motorcyclist
ACC-00263,2022,1,January,2022-01-01,Madhesh,Dhanusha,Janakpur,26.718634,85.936581,Highway,Motorcycle,Overspeeding,Evening,Foggy,4,7,2,2,9,Male,Young Adult (15-24),Motorcyclist
ACC-00292,2022,1,January,2022-01-01,Koshi,Morang,Gramthan,26.545846,87.201089,Hill Road,Motorcycle,Landslide,Afternoon,Rainy,2,5,0,0,41,Male,Adult (25-44),Motorcyclist
ACC-00312,2022,1,January,2022-01-01,Bagmati,Kathmandu,Budhanilkantha,27.773826,85.347575,Rural Road,Motorcycle,Human Error,Night,Foggy,4,1,0,0,63,Male,Adult (25-44),Motorcyclist
ACC-00406,2022,1,January,2022-01-01,Koshi,Morang,Kanepokhari,26.573147,87.182242,Urban Road,Motorcycle,Drunk Driving,Night,Foggy,3,3,1,1,52,Female,Adult (25-44),Motorcyclist
ACC-00473,2022,1,January,2022-01-01,Lumbini,Rupandehi,Bhairahawa,27.486335,83.423274,Urban Road,Motorcycle,Weather,Night,Rainy,1,3,0,0,33,Male,Senior (65+),Motorcyclist
ACC-00485,2022,1,January,2022-01-01,Koshi,Morang,Rangeli,26.471858,87.317362,Urban Road,Bus,Landslide,Afternoon,Rainy,4,6,1,1,10,Male,Child (0-14),Passenger
ACC-00523,2022,1,January,2022-01-01,Gandaki,Kaski,Nadipur,28.235541,84.013028,Urban Road,Car,Weather,Evening,Clear,1,3,1,1,26,Female,Child (0-14),Driver
ACC-00536,2022,1,January,2022-01-01,Lumbini,Rupandehi,Omsatiya,27.582455,83.445973,Hill Road,Bus,Flood,Evening,Rainy,2,2,0,0,21,Female,Adult (25-44),Driver
ACC-00015,2022,2,February,2022-02-01,Lumbini,Rupandehi,Siddharthanagar,27.505313,83.446713,Urban Road,Motorcycle,Human Error,Morning,Clear,1,5,0,0,10,Male,Young Adult (15-24),Motorcyclist
ACC-00064,2022,2,February,2022-02-01,Lumbini,Rupandehi,Marchawari,27.550908,83.330803,Rural Road,Car,Landslide,Afternoon,Rainy,4,4,1,1,32,Male,Young Adult (15-24),Driver
ACC-00074,2022,2,February,2022-02-01,Koshi,Morang,Letang,26.771029,87.613019,Hill Road,Motorcycle,Human Error,Afternoon,Foggy,2,2,0,0,68,Female,Adult (25-44),Motorcyclist
ACC-00109,2022,2,February,2022-02-01,Koshi,Morang,Katahari,26.480685,87.24629,Urban Road,Bus,Road Condition,Night,Rainy,1,4,1,1,48,Male,Adult (25-44),Passenger
ACC-00119,2022,2,February,2022-02-01,Bagmati,Kathmandu,Kirtipur,27.655351,85.273976,Highway,Motorcycle,Flood,Night,Rainy,2,8,1,1,57,Female,Young Adult (15-24),Motorcyclist
ACC-00248,2022,2,February,2022-02-01,Sudurpashchim,Kailali,Khailad,28.72104,80.597994,Highway,Motorcycle,Flood,Afternoon,Rainy,1,5,3,3,56,Female,Adult (25-44),Motorcyclist
ACC-00273,2022,2,February,2022-02-01,Madhesh,Dhanusha,Kamala,26.681428,85.950278,Urban Road,Motorcycle,Drunk Driving,Evening,Foggy,4,3,2,2,44,Female,Young Adult (15-24),Motorcyclist
ACC-00278,2022,2,February,2022-02-01,Karnali,Surkhet,Barahatal,28.592425,81.595688,Urban Road,Motorcycle,Landslide,Afternoon,Rainy,3,3,3,3,34,Male,Young Adult (15-24),Motorcyclist
ACC-00400,2022,2,February,2022-02-01,Sudurpashchim,Kailali,Attariya,28.639829,80.612951,Hill Road,Motorcycle,Flood,Night,Rainy,3,0,0,0,38,Female,Adult (25-44),Motorcyclist
ACC-00478,2022,2,February,2022-02-01,Madhesh,Dhanusha,Hansapur,26.707096,85.895154,Urban Road,Truck,Landslide,Evening,Rainy,2,2,2,2,11,Male,Middle Aged (45-64),Driver
ACC-00095,2022,3,March,2022-03-01,Madhesh,Dhanusha,Kamala,26.71686,85.939176,Highway,Motorcycle,Flood,Morning,Rainy,1,7,2,2,54,Female,Young Adult (15-24),Motorcyclist
ACC-00100,2022,3,March,2022-03-01,Bagmati,Kathmandu,Jorpati,27.749882,85.370117,Highway,Tempo,Weather,Afternoon,Clear,4,5,0,0,10,Male,Adult (25-44),Passenger
ACC-00237,2022,3,March,2022-03-01,Sudurpashchim,Kailali,Mohanyal,28.737901,80.673244,Hill Road,Motorcycle,Human Error,Night,Clear,2,2,2,2,29,Male,Adult (25-44),Motorcyclist
ACC-00373,2022,3,March,2022-03-01,Sudurpashchim,Kailali,Hasuliya,28.57724,80.802672,Rural Road,Motorcycle,Landslide,Night,Rainy,1,4,3,3,38,Male,Middle Aged (45-64),Motorcyclist
